protocol_version,claim_id,required_roles,expected_independent_reviews,received_reviews,role_decisions,disagreement_summary,adjudication_decision,approved_copy_version,adjudicator_id,adjudication_rationale,resolved_at
enakq-trait-map-expert-review.v0.1,ENAKQ.boundary.variability,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.comparison.nonjudgment,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.A,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.E,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.K,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.N,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.observation,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.Q,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.ambiguity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.attention,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.contact,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.context,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.expression,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.fact_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.prompt,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.reciprocity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.self_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.similarity,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.uncertainty,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.change,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.context,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.conversation,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.decision,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.rest,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.schedule,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.self_check,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.adjacent_construct,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.ai_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.boundary,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.content_validity,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.culture,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.final_boundary,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.intended_use,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.nonvalidation,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.norms,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.privacy,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.scope,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.structure,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.translation,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.uncertainty,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.update,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.user_reading,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.validation_plan,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.versioning,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.care,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.conflict,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.contact,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.context,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.friction,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.role,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.family.support_prompt,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.context,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.distance,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.initiation,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.novelty,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.reciprocity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.repair,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.similarity,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.friend.support,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.definition.A,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.definition.E,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.definition.K,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.definition.N,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.definition.Q,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.inner.A,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.q.activation,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.q.expression,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.response.AA,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.response.AG,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.role.conductor,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.general.role.opens,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.A_experiment,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.check,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.choice,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.E_experiment,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.K_experiment,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.N_experiment,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.nonpromise,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.privacy,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.growth.Q_experiment,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.AQ,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.EA,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.ENK,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.EQ,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.NAQ,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.NK,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.interaction.NQ,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.A,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.barnum,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.E,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.K,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.N,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.Q,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.role,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.misread.self_other,personality_psychology;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.ambiguity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.autonomy,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.comparison,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.conflict,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.contact,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.context,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.expression,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.plan,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.repair,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.self_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.similarity,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.partner.support,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.comparison_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.enacted_response,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.first_orientation,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.GA,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.GG,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.non_inference,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.personal_display,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.process.release_threshold,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.A,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.A_overuse,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.conditional,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.E,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.E_overuse,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.interaction,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.K,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.K_overuse,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.N,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.N_overuse,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.non_ability,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.Q_nonvirtue,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.Q_use,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.strength.role_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.activation,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.clinical_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.communication,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.crossload,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.environment,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.reactivity_recovery_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.recovery,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.safety,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.self_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.state_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.support_preference,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.stress.worry,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.study.pattern,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.study.support,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.collaboration,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.context,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.evaluation,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.followthrough,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.ideation,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.learning,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.performance_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.self_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.support,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.work.voice,personality_psychology;psychometrics,4,0,,,,,,,
