claim_id,priority,required_roles,canonical_block_ref,source_parts,evidence_status,publication_state,review_reason
ENAKQ.boundary.variability,high,psychometrics;relationship_safety,ENAKQ-P3-ALL-01,1;2;3;4;5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.comparison.nonjudgment,critical,psychometrics;relationship_safety,ENAKQ-P14-07,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.A,high,relationship_safety,ENAKQ-P14-03,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.E,high,relationship_safety,ENAKQ-P14-01,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.K,high,relationship_safety,ENAKQ-P14-04,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.N,high,relationship_safety,ENAKQ-P14-02,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.observation,high,relationship_safety,ENAKQ-P14-07,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.Q,high,relationship_safety,ENAKQ-P14-05,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.ambiguity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-03,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.attention,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-04,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.boundary,critical,psychometrics;relationship_safety,ENAKQ-P10-07,4,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.contact,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-05,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.context,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-01,4,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.expression,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-02,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.fact_check,high,psychometrics;relationship_safety,ENAKQ-P10-03,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.prompt,high,psychometrics;relationship_safety,ENAKQ-P10-05,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.reciprocity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-05,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.self_check,high,psychometrics;relationship_safety,ENAKQ-P10-07,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.similarity,critical,psychometrics;relationship_safety,ENAKQ-P10-06,4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.uncertainty,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-01,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.daily.change,high,personality_psychology,ENAKQ-P6-05,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.daily.context,standard,personality_psychology,ENAKQ-P6-01,2,EXTERNAL_SUPPORTED,review_candidate,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.daily.conversation,high,personality_psychology,ENAKQ-P6-02,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.daily.decision,high,personality_psychology,ENAKQ-P6-03,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.daily.rest,high,psychometrics;relationship_safety,ENAKQ-P6-06,2,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.daily.schedule,high,personality_psychology;psychometrics,ENAKQ-P6-04,2,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.daily.self_check,high,relationship_safety,ENAKQ-P6-07,2,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.evidence.adjacent_construct,standard,psychometrics,ENAKQ-P15-01,5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.ai_boundary,critical,psychometrics;relationship_safety,ENAKQ-P15-05,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.evidence.boundary,standard,psychometrics,ENAKQ-P15-04,5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.content_validity,standard,psychometrics,ENAKQ-P15-02,5,EXTERNAL_SUPPORTED_METHOD,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.culture,high,psychometrics,ENAKQ-P15-03,5,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.final_boundary,standard,psychometrics,ENAKQ-P15-06,5,EVIDENCE_DOCUMENTED,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.intended_use,critical,psychometrics;relationship_safety,ENAKQ-P15-05,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.evidence.nonvalidation,standard,psychometrics,ENAKQ-P15-01,5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.norms,critical,psychometrics;relationship_safety,ENAKQ-P15-03,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.evidence.privacy,critical,psychometrics;relationship_safety,ENAKQ-P15-05,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.evidence.scope,standard,psychometrics,ENAKQ-P15-01,5,EVIDENCE_DOCUMENTED,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.structure,standard,psychometrics,ENAKQ-P15-02,5,DESIGN_APPROVED_NOT_EXECUTED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.translation,standard,psychometrics,ENAKQ-P15-03,5,EXTERNAL_SUPPORTED_METHOD,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.uncertainty,standard,psychometrics,ENAKQ-P15-04,5,DESIGN_APPROVED_NOT_EXECUTED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.update,standard,psychometrics,ENAKQ-P15-06,5,DESIGN_APPROVED_NOT_EXECUTED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.user_reading,high,psychometrics,ENAKQ-P15-06,5,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.validation_plan,standard,psychometrics,ENAKQ-P15-02,5,DESIGN_APPROVED_NOT_EXECUTED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.evidence.versioning,critical,psychometrics;relationship_safety,ENAKQ-P15-04,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.care,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-02,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.conflict,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-05,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.contact,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-02,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.context,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-01,3,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.friction,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-04,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.role,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P7-03,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.family.support_prompt,high,psychometrics;relationship_safety,ENAKQ-P7-06,3;4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.context,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-01,3,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.distance,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-04,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.initiation,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-01,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.novelty,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-02,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.reciprocity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-05,3,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.repair,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P8-05,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.similarity,critical,psychometrics;relationship_safety,ENAKQ-P8-06,3,EXTERNAL_SUPPORTED,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.friend.support,high,psychometrics;relationship_safety,ENAKQ-P8-03,3,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.general.definition.A,high,personality_psychology;psychometrics,ENAKQ-P3-A-01,1;4,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.definition.E,high,personality_psychology;psychometrics,ENAKQ-P3-E-01,1;4,NUANG_MAPPED_PROVISIONAL,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.definition.K,high,personality_psychology;psychometrics,ENAKQ-P3-K-01,1;2;3;4,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.definition.N,high,personality_psychology;psychometrics,ENAKQ-P3-N-01,1;4,NUANG_MAPPED_PROVISIONAL,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.definition.Q,high,personality_psychology;psychometrics,ENAKQ-P3-Q-01,1;4,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.inner.A,high,personality_psychology;psychometrics,ENAKQ-P3-A-01,1;2,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.q.activation,high,personality_psychology;psychometrics,ENAKQ-P3-Q-01,1;2;3;4,NUANG_MAPPED_PROVISIONAL,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.q.expression,high,personality_psychology,ENAKQ-P3-Q-02,1;2;3;4,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.general.response.AA,high,personality_psychology;psychometrics,ENAKQ-P3-A-02,1;2;3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.response.AG,high,personality_psychology;psychometrics,ENAKQ-P3-A-02,1;2;3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.general.role.conductor,high,personality_psychology,ENAKQ-P2-02,1;2;5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.general.role.opens,high,personality_psychology,ENAKQ-P2-01,1;2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.growth.A_experiment,high,relationship_safety,ENAKQ-P13-04,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.check,high,relationship_safety,ENAKQ-P12-06,4,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.choice,high,relationship_safety,ENAKQ-P13-08,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.E_experiment,high,relationship_safety,ENAKQ-P13-02,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.K_experiment,high,relationship_safety,ENAKQ-P13-05,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.N_experiment,high,relationship_safety,ENAKQ-P13-03,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.nonpromise,high,psychometrics;relationship_safety,ENAKQ-P13-08,5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.growth.privacy,critical,psychometrics;relationship_safety,ENAKQ-P13-08,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
