claim_id,priority,required_roles,canonical_block_ref,source_parts,evidence_status,publication_state,review_reason
ENAKQ.growth.Q_experiment,high,relationship_safety,ENAKQ-P13-06,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.interaction.AQ,high,personality_psychology;psychometrics,ENAKQ-P4-04,2;3;4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.boundary,high,psychometrics;relationship_safety,ENAKQ-P4-01,2,EXTERNAL_SUPPORTED,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.interaction.EA,high,personality_psychology;psychometrics,ENAKQ-P4-02,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.ENK,high,personality_psychology;psychometrics,ENAKQ-P4-06,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.EQ,high,personality_psychology;psychometrics,ENAKQ-P4-05,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.NAQ,high,personality_psychology;psychometrics,ENAKQ-P10-03,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.NK,high,personality_psychology;psychometrics,ENAKQ-P4-03,2;3;4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.interaction.NQ,high,personality_psychology;psychometrics,ENAKQ-P12-02,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.misread.A,high,personality_psychology;relationship_safety,ENAKQ-P14-03,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.barnum,high,personality_psychology;relationship_safety,ENAKQ-P14-06,5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.E,high,personality_psychology;relationship_safety,ENAKQ-P14-01,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.K,high,personality_psychology;relationship_safety,ENAKQ-P14-04,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.N,high,personality_psychology;relationship_safety,ENAKQ-P14-02,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.Q,high,personality_psychology;relationship_safety,ENAKQ-P14-05,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.role,high,personality_psychology;relationship_safety,ENAKQ-P14-06,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.misread.self_other,high,personality_psychology;relationship_safety,ENAKQ-P14-07,5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.ambiguity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-05,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.autonomy,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-08,3,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.boundary,high,psychometrics;relationship_safety,ENAKQ-P9-01,3,EXTERNAL_SUPPORTED,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.comparison,high,psychometrics;relationship_safety,ENAKQ-P9-09,3,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.conflict,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-06,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.contact,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-02,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.context,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-01,3,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.expression,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-02,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.plan,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-04,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.repair,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P9-07,3,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.self_check,high,psychometrics;relationship_safety,ENAKQ-P9-10,3,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.similarity,critical,psychometrics;relationship_safety,ENAKQ-P9-09,1;3;4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.partner.support,high,psychometrics;relationship_safety,ENAKQ-P9-03,3,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.process.boundary,high,psychometrics;relationship_safety,ENAKQ-P5-03,2,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.process.comparison_boundary,high,psychometrics;relationship_safety,ENAKQ-P5-06,2;3,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.process.enacted_response,high,personality_psychology;psychometrics,ENAKQ-P5-01,2,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.process.first_orientation,high,personality_psychology;psychometrics,ENAKQ-P5-01,2,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.process.GA,high,personality_psychology;psychometrics,ENAKQ-P5-03,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.process.GG,high,personality_psychology;psychometrics,ENAKQ-P5-03,2,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.process.non_inference,high,psychometrics;relationship_safety,ENAKQ-P5-05,2;3;4;5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.process.personal_display,high,personality_psychology;psychometrics,ENAKQ-P5-06,2,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.process.release_threshold,high,psychometrics;relationship_safety,ENAKQ-P5-04,2,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.strength.A,high,personality_psychology,ENAKQ-P13-04,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.A_overuse,high,personality_psychology,ENAKQ-P13-04,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.conditional,high,psychometrics;relationship_safety,ENAKQ-P13-01,5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.strength.E,high,personality_psychology,ENAKQ-P13-02,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.E_overuse,high,personality_psychology,ENAKQ-P13-02,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.interaction,high,personality_psychology,ENAKQ-P13-07,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.K,high,personality_psychology,ENAKQ-P13-05,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.K_overuse,high,personality_psychology,ENAKQ-P13-05,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.N,high,personality_psychology,ENAKQ-P13-03,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.N_overuse,high,personality_psychology,ENAKQ-P13-03,5,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.non_ability,high,psychometrics;relationship_safety,ENAKQ-P13-01,5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.strength.Q_nonvirtue,high,psychometrics;relationship_safety,ENAKQ-P13-06,5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.strength.Q_use,high,personality_psychology,ENAKQ-P13-06,5,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토"
ENAKQ.strength.role_boundary,high,psychometrics;relationship_safety,ENAKQ-P13-07,5,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.activation,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P12-01,4,NUANG_MAPPED_PROVISIONAL,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.clinical_boundary,critical,psychometrics;relationship_safety,ENAKQ-P12-07,4,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.communication,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P12-03,4,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.crossload,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P12-02,4,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.environment,high,psychometrics;relationship_safety,ENAKQ-P12-06,4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.reactivity_recovery_boundary,high,psychometrics;relationship_safety,ENAKQ-P12-04,4;5,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.recovery,high,psychometrics;relationship_safety,ENAKQ-P12-04,1;2;3;4,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.safety,critical,psychometrics;relationship_safety,ENAKQ-P12-07,4,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.self_check,high,psychometrics;relationship_safety,ENAKQ-P12-06,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.state_boundary,high,psychometrics;relationship_safety,ENAKQ-P12-01,4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.support_preference,high,psychometrics;relationship_safety,ENAKQ-P12-05,4,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.stress.worry,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P12-02,1;4,QUANT_VALIDATION_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.study.pattern,high,personality_psychology;psychometrics,ENAKQ-P11-07,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.study.support,high,psychometrics;relationship_safety,ENAKQ-P11-07,4,HOLD,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.work.boundary,critical,psychometrics;relationship_safety,ENAKQ-P11-08,4,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.work.collaboration,high,personality_psychology;psychometrics,ENAKQ-P11-04,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.context,high,personality_psychology;psychometrics,ENAKQ-P11-01,4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.evaluation,high,personality_psychology;psychometrics,ENAKQ-P11-06,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.followthrough,high,personality_psychology;psychometrics,ENAKQ-P11-05,4,NUANG_MAPPED_PROVISIONAL,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.ideation,high,personality_psychology;psychometrics,ENAKQ-P11-03,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.learning,high,personality_psychology;psychometrics,ENAKQ-P11-03,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
ENAKQ.work.performance_boundary,high,psychometrics;relationship_safety,ENAKQ-P11-05,4,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.work.self_check,high,psychometrics;relationship_safety,ENAKQ-P11-08,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.work.support,high,psychometrics;relationship_safety,ENAKQ-P11-08,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.work.voice,high,personality_psychology;psychometrics,ENAKQ-P11-02,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토"
