claim_id,priority,required_roles,role_decisions,construct_fit_mean,evidence_fit_mean,inference_scope_mean,language_safety_mean,risk_flags,internal_disposition,required_revision_summary,rationale_summary,external_review_status,registry_mutation_permitted
ENAKQ.boundary.variability,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,4.00,3.00,3.50,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 개인 리포트에서 변동성을 언급하려면 점수 신뢰도·검사-재검사·상태 영향 자료와 불확실성 표기 규칙을 먼저 확정하고 현재는 일반 경계 문구로만 사용한다.,psychometrics: 상태와 상황에 따른 변동 가능성은 지지되지만 ENAKQ 개인 점수의 변동 폭과 경계 처리 방식은 아직 검증되지 않았다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 다섯 글자를 고정 행동이나 가치 서열로 합치지 않고 상황과 점수와 별도 측정 정보의 순서를 명확히 한다.,NOT_STARTED,false
ENAKQ.comparison.nonjudgment,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,3.50,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 측정값을 상대의 속마음이나 관계 판정으로 확장하지 않는 안전 경계이며 현재 입력 범위를 넘는 개인화 추론을 요구하지 않는다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 코드로 의도와 영향을 판정하지 않고 당사자가 공개한 경험과 선택을 우선하는 안전 경계가 명확하다.,NOT_STARTED,false
ENAKQ.conversation.A,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: A를 친절과 공감 능력으로 평가하지 않고 현재 필요한 지원을 직접 묻는 선택형 대화로 바꾼다.,NOT_STARTED,false
ENAKQ.conversation.E,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: E를 사교성 우열과 연락 책임으로 만들지 않고 참여 방식과 현재 상태를 확인하게 한다.,NOT_STARTED,false
ENAKQ.conversation.K,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: K와 M을 도덕성과 신뢰도의 서열로 만들지 않고 환경과 분담을 함께 확인한다.,NOT_STARTED,false
ENAKQ.conversation.N,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: N과 R을 지능이나 개방성의 가치 판단으로 만들지 않고 탐색과 결정 단계의 차이로 다룬다.,NOT_STARTED,false
ENAKQ.conversation.observation,high,relationship_safety,relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: 내적 경험과 관찰 행동을 구분하고 상대의 속마음을 코드로 대신 판단하지 않도록 한다.,NOT_STARTED,false
ENAKQ.conversation.Q,high,relationship_safety,relationship_safety:accept,4.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: 감정 활성화와 비난이나 통제 행동을 분리하고 말하지 않을 선택과 지원 범위를 보장한다.,NOT_STARTED,false
ENAKQ.crush.ambiguity,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.33,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,personality_psychology: N 단일 경향의 조건부 예시와 N·A·Q 조합 가설을 분리하고 조합 문장은 상호작용 검증 전 노출하지 않는다. | psychometrics: 운영 보류. N·Q 단일 점수로 호감 관계의 모호성 반응을 예측하지 말고 관계 불확실성·상황 강도·반복 반응을 직접 측정해 증분타당도를 확인한다. | relationship_safety: N·A·Q 조합에서 관계가 멀어지는 설명에 오래 머문다는 개인화 문장을 운영 노출에서 제외하고 해당 장면을 직접 반복 측정한 경우에만 자기관찰 가설로 제시한다.,personality_psychology: 가능성 탐색과 마음 읽기를 구분한 경계는 적절하지만 세 자리 조합이 부정적 관계 설명에 오래 머문다는 증분 효과는 측정되지 않았다. | psychometrics: 인접 구성개념 설명만으로 특정 관계 장면의 사고·행동을 개인에게 발급할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 애착과 집착으로 낙인찍지 않는 경계는 좋지만 검증되지 않은 조합 가설 자체가 관계 불안을 강화할 수 있다.,NOT_STARTED,false
ENAKQ.crush.attention,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,2.00,3.33,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: A 점수에서 관찰 행동을 바로 예측하지 말고 관계 주의의 자기보고 경향과 실제 표현 수정 행동을 별도 신호로 구분한다. | psychometrics: 운영 보류. 상대에게 향한 주의 내용과 빈도를 직접 묻는 반복 장면 자료와 A 점수의 수렴·변별 자료를 확보한다. | relationship_safety: 메시지를 여러 번 고치거나 대화 속도를 맞춘다는 행동은 A 점수로 제시하지 말고 사용자가 직접 보고한 반복 행동이 있을 때만 선택형 문장으로 노출한다.,personality_psychology: 상대 상태에 주의가 향한다는 정의에는 맞지만 표현을 여러 번 고치고 속도를 맞춘다는 행동 일반화는 A 단일 점수의 근거 범위를 넘는다. | psychometrics: A 영역 점수만으로 마음 가는 상대에게 어떤 정보가 먼저 신경 쓰이는지 추론하는 근거가 부족하다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 선택권과 거절 존중은 적절하지만 A에서 연애 연락 행동으로 건너가는 추론은 직접 측정되지 않았다.,NOT_STARTED,false
ENAKQ.crush.boundary,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:revise,4.00,3.00,3.50,3.50,clinical_overreach,REVISE_BEFORE_NEXT_GATE,relationship_safety: 일상 기능 저하 안내와 즉각적 위험 안내를 분리하고 즉각 위험에는 지역별 긴급 지원과 신뢰할 수 있는 사람에게 연결하는 별도 흐름을 명시한다.,psychometrics: 비공개 결과와 관찰 기록으로 호감·속마음을 추정하지 않도록 제한하는 제품 정책으로서 측정 범위와 잘 맞는다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 비동의 정보 추론을 금지하는 점은 적절하지만 서로 다른 위험 수준을 한 문단에서 다뤄 사용자가 필요한 지원의 긴급도를 구분하기 어렵다.,NOT_STARTED,false
ENAKQ.crush.contact,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:accept;psychometrics:insufficient_evidence;relationship_safety:accept,3.33,2.33,3.00,3.67,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,psychometrics: 운영 보류. 연락 시작 행동·상대 선택권·관계 단계·기회 요인을 직접 측정하고 E가 행동을 추가로 설명하는지 검증한다.,personality_psychology: 연락 빈도에서 마음의 크기를 추론하지 않고 반복 행동과 명시적 의사를 함께 보라는 경계는 특정 유형을 단정하지 않으며 관계 불확실성의 개인차를 안전하게 다룬다. | psychometrics: 관계 맥락과 기회가 강하게 작용하는 연락 행동을 domain_scores로 예측하기 어렵다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 연락 빈도를 관심과 예의의 보편 규칙으로 만들지 않고 상대가 말한 의사와 실제 행동을 우선한다.,NOT_STARTED,false
ENAKQ.crush.context,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:revise;relationship_safety:revise,3.00,2.33,2.67,3.67,evidence_mismatch;unmeasured_inference,REVISE_BEFORE_NEXT_GATE,personality_psychology: 관계 초기의 일반적 불확실성 근거와 각 ENAKQ 자리의 활성화 가능성을 분리하고 후자는 검증 전 자기성찰 질문으로만 제시한다. | psychometrics: 호감 관계가 불확실성을 높일 수 있다는 일반 맥락 안내와 ENAKQ 개인 예측을 분리하고 개인화는 직접 측정한 관계 맥락 자료가 있을 때만 허용한다. | relationship_safety: 연애 초기에는 각 글자가 나타날 수 있다는 목록을 일반 교육 예시로만 두고 개인 결과에는 관계 맥락 응답이 없으면 다섯 방향을 연결하지 않는다.,personality_psychology: 관계 초기 불확실성과 상황 효과는 타당하지만 다섯 자리가 이 맥락에서 각각 더 두드러진다는 ENAKQ 고유 연결은 아직 직접 지지되지 않는다. | psychometrics: 맥락 경계는 유용하지만 ENAKQ에게 특정 반응이 더 커진다는 표현은 현재 근거를 앞선다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 권력 차이와 안전을 먼저 보라는 경계는 좋지만 대표 코드만으로 호감 장면의 주의 대상을 예측하는 인상을 줄 수 있다.,NOT_STARTED,false
ENAKQ.crush.expression,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,2.00,3.33,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 대표 E가 아니라 교류 에너지와 표현 시작의 세부 점수에 조건화하고 관계 장면으로의 전이를 검증할 때까지 후보 행동임을 전면에 둔다. | psychometrics: 운영 보류. 표현 방식과 실제 행동을 직접 측정하고 관계 단계·규범·상대 반응을 통제한 반복 자료를 확보한다. | relationship_safety: 먼저 연락과 만남 제안은 관계 맥락에서 직접 측정된 표현 시작 자료가 있을 때만 설명하고 대표 E만으로 노출하지 않는다.,personality_psychology: 표현 시작 경향과 능숙한 호감 표현을 구분한 점은 좋지만 복합 E에서 연애 초기 행동을 예측하는 근거는 부족하다. | psychometrics: E 점수와 상황 변산만으로 호감 표현 행동의 형태를 정할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 마음의 크기를 추정하지 않는 경계는 적절하지만 E에서 호감 표현 행동으로 이어지는 주장은 검증 전이다.,NOT_STARTED,false
ENAKQ.crush.fact_check,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:revise,3.00,2.00,3.00,3.50,evidence_mismatch;clinical_overreach;other,REVISE_BEFORE_NEXT_GATE,psychometrics: 성향 맞춤 처방이 아니라 모든 사용자가 선택할 수 있는 자기관찰 도구로 제공하고 효용·부작용·이탈을 파일럿에서 확인한다. | relationship_safety: 세 줄 기록은 선택형 일회성 도구로 두고 반복 확인이나 상대 행동 모니터링에 쓰지 않게 하며 생각이 더 길어지거나 기능이 저하되면 중단하고 지원을 찾는 안내를 추가한다.,psychometrics: 사실과 추측 구분은 안전하지만 ENAKQ 점수로 추천해야 한다는 측정 근거는 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 사실과 해석 구분은 안전에 도움이 될 수 있으나 호감 불확실성에서 반복 기록은 반추와 확인 행동을 늘릴 수 있다.,NOT_STARTED,false
ENAKQ.crush.prompt,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,3.50,2.50,3.50,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 코드 기반 자동 추천을 제거하고 현재 관계에서 사용자가 직접 고르는 대화 질문으로 운영한 뒤 이해도와 실제 유용성을 평가한다.,psychometrics: 대화 질문의 효용은 제품 가설이며 성향 점수에서 도출된 검증 결과가 아니다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 떠보기보다 자신의 바람을 직접 말하되 답하지 않음과 거절과 애매한 답을 동의로 바꾸지 않는 경계가 명확하다.,NOT_STARTED,false
ENAKQ.crush.reciprocity,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:accept,3.33,2.00,2.67,3.67,evidence_mismatch;unmeasured_inference;relationship_determinism,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 성향 예측이 아닌 관계 관찰 가이드로 재분류하고 상호성 판단에 필요한 기간과 행동 범위를 정량 파일럿 전까지 특정하지 않는다. | psychometrics: 운영 보류. 상호성은 양측 행동·관계 단계·동의·기회 자료로 측정하고 한 사람의 코드로 상대 반응이나 관계 의도를 추정하지 않는다.,personality_psychology: 제안과 참여가 서로 다른 기여일 수 있다는 설명은 유용하지만 ENAKQ 점수에서 도출되는 주장이라기보다 일반적 양자 관계 원칙이다. | psychometrics: 단일 사용자의 domain_scores와 관계 맥락만으로 두 사람의 상호작용을 설명할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 단일 연락 신호를 호감 전체로 해석하지 않고 반복 행동과 당사자의 명시적 의사를 함께 보게 한다.,NOT_STARTED,false
ENAKQ.crush.self_check,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:revise,3.50,2.50,3.00,3.50,evidence_mismatch;clinical_overreach,REVISE_BEFORE_NEXT_GATE,psychometrics: 평가 점수와 분리된 선택형 일반 체크리스트로 제공하고 ENAKQ 전용 효과를 주장하지 않으며 사용자 안전성과 인지 이해도를 검토한다. | relationship_safety: 자기관찰 질문과 고통 또는 위협 상황을 시각적으로 분리하고 후자에는 성향 설명을 중단한 지역별 전문 및 긴급 지원 경로를 제공한다.,psychometrics: 자기관찰 질문은 합리적이지만 점수 기반 개인화 근거가 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 동의와 경계를 점검하는 질문은 적절하지만 고통과 폭력 상황의 제품 대응이 추상적이다.,NOT_STARTED,false
ENAKQ.crush.similarity,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 유사성을 호감 확률로 변환하지 않는 결론은 제시된 연구의 제한을 명시하고 측정 밖 요인을 남겨 두어 추론 범위가 적절하다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 코드 유사성을 호감과 궁합 확률로 변환하지 않고 측정하지 않은 관계 정보를 분리한다.,NOT_STARTED,false
ENAKQ.crush.uncertainty,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.67,1.67,2.00,3.33,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 관계 불확실성 자체와 ENAKQ 특정 자리의 반응을 구분하며 점수와 맥락을 함께 측정한 자료가 생기기 전에는 ENAKQ 고유 반응으로 쓰지 않는다. | psychometrics: 운영 보류. 관계 불확실성 상태를 직접 측정하고 Q·A·N과 구분되는지 및 시간적 선후를 확인한다. | relationship_safety: 관계 초기의 불확실성은 보편 맥락으로 설명하되 E·N·A·K·Q별 반응은 관계 맥락 응답이 확인되지 않으면 개인화하지 않는다.,personality_psychology: 초기 관계의 불확실성은 일반적이지만 대표 코드가 무엇을 먼저 주목하는지 설명하는 부분은 직접 검증이 없다. | psychometrics: 호감 관계의 불확실성을 Q나 조합의 내적 경험으로 발급할 직접 측정 근거가 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 애착과 호감 크기를 추정하지 않는 점은 좋지만 대표 코드가 연애 불확실성에서 작동하는 방식은 별도 검증이 필요하다.,NOT_STARTED,false
ENAKQ.daily.change,high,personality_psychology,personality_psychology:revise,3.00,2.00,2.00,4.00,unmeasured_inference,REVISE_BEFORE_NEXT_GATE,personality_psychology: K·Q 점수와 갑작스러운 변화 장면의 생각 및 행동을 따로 측정하고 특정 지원법은 개인 반응 자료가 있을 때만 제공한다.,personality_psychology: 문제 해결과 내적 부담의 공존 가능성은 타당하나 변화 상황에서 K와 Q가 함께 이 패턴을 만든다는 추론과 회복 선택지는 검증 전이다.,NOT_STARTED,false
ENAKQ.daily.context,standard,personality_psychology,personality_psychology:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,personality_psychology: 성향 표현이 사람·과제·시간·휴식에 따라 달라지며 유형을 생활 규칙으로 쓰지 말아야 한다는 문장은 사람-상황 상호작용의 핵심 경계에 부합한다.,NOT_STARTED,false
ENAKQ.daily.conversation,high,personality_psychology,personality_psychology:revise,3.00,2.00,2.00,4.00,unmeasured_inference,REVISE_BEFORE_NEXT_GATE,personality_psychology: 교류 에너지·표현 시작·관계 주의의 세부 신호에 각각 연결하고 E·A 조합에서 배려적 발언 배분을 예측하지 않는다.,personality_psychology: 대화 시작과 교류 활성화는 E 후보 행동이지만 말하지 않은 사람에게 기회를 주는 행동은 A나 E의 점수만으로 도출되지 않는다.,NOT_STARTED,false
ENAKQ.daily.decision,high,personality_psychology,personality_psychology:insufficient_evidence,2.00,1.00,2.00,4.00,unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: N·K 단일 경향과 결정 단계별 행동을 함께 측정한 자료 및 상호작용 검증이 필요하다.,personality_psychology: 선택지 확장 뒤 계획을 지속한다는 순차 모델은 직관적이지만 N·K 조합이 실제 결정 과정에서 이런 순서를 보인다는 근거가 없다.,NOT_STARTED,false
ENAKQ.daily.rest,high,psychometrics;relationship_safety,psychometrics:insufficient_evidence;relationship_safety:accept,3.00,2.00,3.00,3.50,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,psychometrics: 운영 보류. 회복 선호와 실제 도움을 별도 반복 자료로 수집하고 domain_scores가 아닌 recovery_preference에만 근거해 개인화한다.,psychometrics: 공통 처방 근거가 없으며 휴식 방식은 별도 구성개념과 현재 상태의 영향을 받는다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 회복법을 코드로 처방하지 않고 사용자가 현재 원하는 방식을 직접 고르게 하는 비처방 경계가 적절하다.,NOT_STARTED,false
ENAKQ.daily.schedule,high,personality_psychology;psychometrics,personality_psychology:revise;psychometrics:insufficient_evidence,2.50,2.00,2.50,3.50,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: K의 하위 구조가 확정된 뒤 시작·복귀·지속·정리 중 측정된 신호만 문장에 연결하고 생활 조건을 함께 표시한다. | psychometrics: 운영 보류. 시작·복귀·지속·정리 facet과 실제 일정 행동을 분리 측정하고 K 총점의 증분 예측력을 검증한다.,personality_psychology: 일정 행동의 상황 의존성을 잘 제한했지만 현재 K가 여러 실행 관련 행동을 한 글자로 묶어 각 행동을 예측할 수 있는지는 검증되지 않았다. | psychometrics: K 단일 점수만으로 일상 일정 행동을 발급하면 세부 성향과 상황 영향을 가린다.,NOT_STARTED,false
ENAKQ.daily.self_check,high,relationship_safety,relationship_safety:accept,4.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: 행동을 좋은 날의 점수로 평가하지 않고 상황과 역할의 영향을 함께 보게 해 낙인과 자기비난을 줄인다.,NOT_STARTED,false
ENAKQ.evidence.adjacent_construct,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 인접 척도와 ENAKQ의 검증을 구분하고 외부 효과 크기·규준을 옮기지 않는 설명이 정확하다.,NOT_STARTED,false
ENAKQ.evidence.ai_boundary,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:revise,4.00,3.50,3.50,3.50,privacy_scope,REVISE_BEFORE_NEXT_GATE,relationship_safety: 비민감 입력도 결합 시 민감 추론이 될 수 있음을 밝히고 외부 모델 전송 여부와 보관 기간과 삭제와 이차 이용 금지와 사람의 이의 제기 경로를 제품 계약에 추가한다.,psychometrics: 비민감 보조 기능과 민감한 성향·호감·정신건강 추론을 구분한 안전 정책이며 검사 점수에서 새로운 심리 특성을 만들지 않는다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 성향과 호감과 정신건강 추론 금지는 강하지만 비민감 정보 정리라는 예외의 처리 범위가 넓어 재식별과 이차 추론 여지가 남는다.,NOT_STARTED,false
ENAKQ.evidence.boundary,standard,psychometrics,psychometrics:revise,4.00,3.00,3.00,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 경계 점수·추가 질문·개인화 범위는 실제 채점 불확실성 규칙과 신뢰도 자료가 확정된 항목만 사실형으로 노출하고 나머지는 계획으로 표시한다.,psychometrics: 측정 오차 경계는 타당하지만 현재 실행되지 않은 점수 처리까지 포함한다.,NOT_STARTED,false
ENAKQ.evidence.content_validity,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 관련성·포괄성·이해 가능성에서 구조·재검사·수렴·변별·집단 등가성·준거로 이어지는 검증 순서가 적절하다.,NOT_STARTED,false
ENAKQ.evidence.culture,high,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 번역과 검사 적응을 구분하고 한국어 인지 인터뷰·집단별 등가성·표본 대표성을 요구해 방법론 경계가 적절하다.,NOT_STARTED,false
ENAKQ.evidence.final_boundary,standard,psychometrics,psychometrics:revise,4.00,3.00,3.00,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 가장 확실한 항목이라는 서열 표현을 제거하고 각 claim의 실제 증거 상태·미완료 검증·마지막 검토 날짜를 개별 표시한다.,psychometrics: 근거 수준 공개 원칙은 적절하지만 다섯 자리 정의의 상대적 확실성도 아직 정량 자료 없이 단정할 수 없다.,NOT_STARTED,false
ENAKQ.evidence.intended_use,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 고용·보험·교육 등 고위험 의사결정과 관계 성공 예측을 금지한 사용 목적 경계가 측정 근거 수준에 부합한다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 고용과 보험과 교육과 위험성 판정 및 관계 예측을 명시적으로 금지해 차별과 결정론 위험을 잘 제한한다.,NOT_STARTED,false
