claim_id,priority,required_roles,role_decisions,construct_fit_mean,evidence_fit_mean,inference_scope_mean,language_safety_mean,risk_flags,internal_disposition,required_revision_summary,rationale_summary,external_review_status,registry_mutation_permitted
ENAKQ.evidence.nonvalidation,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 외부 인접 연구가 ENAKQ 자체의 정확성을 인증하지 않는다고 명확히 밝혀 증거 이전 오류를 막는다.,NOT_STARTED,false
ENAKQ.evidence.norms,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 대표성 있는 규준이 없다는 사실과 앱 이용자 비율을 인구 규준으로 부르지 않는 제한이 정확하다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 문화와 세대와 가족 형태의 차이를 인정하고 앱 표본을 한국인 규준으로 오인하지 않게 하는 보호 경계가 적절하다.,NOT_STARTED,false
ENAKQ.evidence.privacy,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:revise,4.00,3.50,3.50,3.50,privacy_scope,REVISE_BEFORE_NEXT_GATE,relationship_safety: 민감 필드의 수집 최소화와 보관 기간과 철회 후 파생 결과 삭제와 접근 기록과 미성년자 처리 원칙을 별도 데이터 계약으로 명시한다.,psychometrics: 원응답·과정·상태 자료를 기본 비공개로 두고 동의 범위만 사용하는 정책은 측정 결과의 민감도를 적절히 반영한다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 기본 비공개와 동의 철회는 적절하지만 실제 개인정보 수명주기와 파생 데이터 삭제 범위가 아직 정의되지 않았다.,NOT_STARTED,false
ENAKQ.evidence.scope,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 현재 근거 원장의 범위와 독자 검사 검증의 부재를 구분하고 한 단계 통과를 과학적 증명으로 부르지 않는다.,NOT_STARTED,false
ENAKQ.evidence.structure,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 구조·안정성·수렴·변별·집단 등가성·행동 준거를 요구하는 미실행 검증 계획으로서 내용이 적절하다.,NOT_STARTED,false
ENAKQ.evidence.translation,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 번역을 적응과 동일시하지 않고 언어·문화 등가성 및 한국 표본 규준을 요구해 방법론 경계가 정확하다.,NOT_STARTED,false
ENAKQ.evidence.uncertainty,standard,psychometrics,psychometrics:revise,4.00,3.00,3.00,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 측정 오차·경계·추가 질문의 표시를 실제 신뢰도와 분류 불확실성 모형에 연결하고 구현 전에는 설계 상태를 명시한다.,psychometrics: 불확실성을 공개하려는 원칙은 적절하지만 ENAKQ에 적용할 정량 기준은 아직 실행되지 않았다.,NOT_STARTED,false
ENAKQ.evidence.update,standard,psychometrics,psychometrics:accept,4.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: claim별 상태·출처·변경 이력과 실제 검토 완료 여부를 공개하겠다는 정책은 검증 상태를 과장하지 않는다.,NOT_STARTED,false
ENAKQ.evidence.user_reading,high,psychometrics,psychometrics:revise,4.00,3.00,3.00,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 다섯 자리 범위가 가장 확실하다는 표현을 설계상 가장 명시된 범위로 낮추고 외부·인지·정량 검증 완료 전에는 확실성 서열을 사실로 제시하지 않는다.,psychometrics: 투명성 원칙은 적절하지만 현 단계에서 다섯 자리 자체가 가장 확실하다는 비교 판단은 경험적으로 입증되지 않았다.,NOT_STARTED,false
ENAKQ.evidence.validation_plan,standard,psychometrics,psychometrics:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 내용타당도부터 구조·안정성·변별·등가성·준거까지 단계적으로 확인하려는 계획이 측정 표준에 부합한다.,NOT_STARTED,false
ENAKQ.evidence.versioning,critical,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,4.00,3.50,3.50,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 경계 점수와 추가 질문의 처리 규칙은 신뢰구간·재검사 정책·버전별 채점 규칙이 실제로 구현된 뒤에만 사실형으로 노출하고 그전에는 설계 원칙으로 표시한다.,psychometrics: 측정 오차와 변동성 경계는 타당하지만 현재 문장은 아직 실행되지 않은 점수 처리까지 작동하는 것처럼 읽힐 수 있다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 결과의 변동과 측정 오차와 버전 변경을 숨기지 않고 과거 결과를 소급 재해석하지 않는 원칙이 안전하다.,NOT_STARTED,false
ENAKQ.family.care,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.33,unmeasured_inference;evidence_mismatch;cultural_norm,HOLD_FOR_MORE_EVIDENCE,personality_psychology: E와 A의 단일 정의를 가족 돌봄 행동으로 합성하지 말고 가족 맥락의 실제 안부·연락 행동과 관계 안전성을 별도로 측정한다. | psychometrics: 운영 보류. 돌봄 행동·주의·연락을 분리하고 가족 역할·동거·기회·상대 자료를 포함한 반복 측정으로 검증한다. | relationship_safety: 가족 안부 확인과 돌봄 행동은 E·A로 예측하지 말고 사용자가 가족 범위와 실제 반복 행동을 직접 제공한 경우에만 설명한다.,personality_psychology: 후보라는 완화 표현은 있으나 E·A가 가족에게 먼저 안부를 묻는다는 상황 전이는 직접 근거가 부족하고 가족 역할의 영향을 크게 받는다. | psychometrics: E/A 점수로 가족 돌봄 행동을 예측하는 직접 근거가 없고 연락을 관심으로 오인할 위험이 있다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 연락 횟수를 관심으로 바꾸지 않는 점은 좋지만 코드에서 가족 돌봄 행동을 도출하면 문화적 돌봄 규범을 성향으로 재생산할 수 있다.,NOT_STARTED,false
ENAKQ.family.conflict,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:accept,3.00,2.00,2.67,3.67,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,personality_psychology: G/A 과정 신호가 충분한 경우에만 갈등 반응 순서를 제시하고 대표 A에서 행동 순서를 암시하는 문장은 제거한다. | psychometrics: 운영 보류. 갈등 장면의 첫 주의·실제 반응·이유·안전 맥락을 직접 측정한 경우에만 과정 설명 후보로 둔다.,personality_psychology: 생각과 행동을 분리하고 경계를 말할 수 있음을 명시한 점은 적절하지만 가족 갈등에서의 순서는 과정 자료 없이는 판별할 수 없다. | psychometrics: 대표 코드와 relationship_context만으로 갈등 순서나 회복 행동을 발급할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 갈등 회피와 배려를 분리하고 안전하지 않은 관계에서는 대화 지속보다 거리와 외부 도움을 우선한다.,NOT_STARTED,false
ENAKQ.family.contact,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.33,unmeasured_inference;evidence_mismatch;cultural_norm,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 가족 연락 행동을 E·A 조합의 결과로 제시하지 말고 표현 시작 세부 점수와 실제 연락 기록을 분리해 검증한다. | psychometrics: 운영 보류. 연락 행동을 직접 측정하고 가족 역할·생활 필요·기회·선호를 통제해 E/A의 추가 설명력을 검증한다. | relationship_safety: 연락 빈도와 먼저 연락하는 행동을 대표 코드에서 제거하고 가족 구성과 동거와 돌봄 역할을 포함한 실제 자료로만 개인화한다.,personality_psychology: 가족에게 먼저 연락한다는 행동은 관계 역사와 역할 분담의 영향이 커서 대표 코드로 일반화하기 어렵다. | psychometrics: 연락 빈도와 시작 행동은 성향보다 가족 구조와 생활 조건에 크게 좌우될 수 있다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 가족 연락을 적정 횟수로 평가하지 않는 경계는 좋지만 E·A와 연락 행동 연결은 규범 편향과 과잉 추론 위험이 있다.,NOT_STARTED,false
ENAKQ.family.context,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:revise;relationship_safety:accept,3.33,2.67,3.67,4.00,evidence_mismatch;cultural_norm,REVISE_BEFORE_NEXT_GATE,personality_psychology: 가족 역할·동거·돌봄·세대와 문화 맥락을 먼저 제시하고 ENAKQ별 예시는 한국어 인지 면접과 상황별 자료를 거친 뒤 사용한다. | psychometrics: 가족 역할과 관계 범위의 일반 맥락 경계로 제시하고 특정 가족 형태·역할별 성향 예측은 하지 않으며 한국어 인지 인터뷰로 문화적 이해를 확인한다.,personality_psychology: 가족에서 다른 모습이 나타날 수 있다는 경계는 타당하지만 역할과 책임의 양상은 문화와 가족 구조에 따라 달라 직접 적용 근거가 필요하다. | psychometrics: 역할이 행동을 바꿀 수 있다는 경계는 타당하지만 ENAKQ 개인화 근거와 분리해야 한다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 가족 역할과 성향 행동을 구분하고 선택한 가족을 포함하며 결혼과 성 역할과 돌봄 의무를 정상 기준으로 두지 않는다.,NOT_STARTED,false
ENAKQ.family.friction,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:insufficient_evidence;psychometrics:insufficient_evidence;relationship_safety:revise,2.00,1.33,1.67,2.67,unmeasured_inference;evidence_mismatch;relationship_determinism,HOLD_FOR_MORE_EVIDENCE,personality_psychology: A·Q 상호작용과 가족 장면의 걱정 및 확인 행동을 직접 검증하기 전에는 코드 기반 마찰 패턴으로 발행하지 않는다. | psychometrics: 운영 보류. A·Q 상호작용과 확인 행동·상대 영향은 양측 반복 장면 자료와 상호작용 모형으로 검증한다. | relationship_safety: A·Q 조합이 가족 확인 행동으로 이어진다는 개인화 문장을 보류하고 본인이 직접 보고한 반복 장면에만 제시하며 상대의 사생활과 답하지 않을 권리를 앞에 배치한다.,personality_psychology: 작은 변화를 알아차리고 반복 확인할 수 있다는 흐름은 A·Q 합성 가설이며 알아차림 정확도와 확인 행동 모두 현재 점수에서 측정되지 않는다. | psychometrics: 두 영역의 선명도를 가족 장면의 걱정과 반복 확인 행동으로 연결하는 근거가 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 반복 확인의 압박을 경고하지만 검증되지 않은 조합 설명이 침해 행동을 성향상 자연스러운 반응으로 정상화할 수 있다.,NOT_STARTED,false
ENAKQ.family.role,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.00,ability_inference;unmeasured_inference;cultural_norm,HOLD_FOR_MORE_EVIDENCE,personality_psychology: K를 가족 책임 수행이나 돌봄 역할과 연결하지 말고 시작·지속 관련 자기보고와 실제 분담·자원 조건을 분리한다. | psychometrics: 운영 보류. 실제 역할 수행·자원·권한·부담을 별도 측정하고 K와 책임·헌신·수행량을 분리한다. | relationship_safety: 가족 일정과 돌봄 노동을 K에서 추론하지 말고 실제 분담과 자원과 권한을 묻는 독립 자료가 있을 때만 설명하며 역할 고정 경고를 먼저 노출한다.,personality_psychology: 도덕성과 실제 수행량을 부정한 것은 좋지만 가족 일정을 챙기는 예시는 K가 책임 있는 가족 역할을 맡는다는 후광을 만들 수 있다. | psychometrics: K 점수로 가족 내 역할 이행을 설명하면 환경과 불평등한 분담을 성향으로 오인할 수 있다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 부담을 강점으로 포장하지 않는 문장은 좋지만 코드에서 가족 관리 역할을 떠올리게 하는 것 자체가 기존 가족 규범을 강화할 수 있다.,NOT_STARTED,false
ENAKQ.family.support_prompt,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,3.50,3.00,4.00,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 코드 자동 추천이 아닌 모든 가족이 선택할 수 있는 대화 프롬프트로 제공하고 상황별 이해도·유용성·안전성을 검토한다.,psychometrics: 지원 선호를 직접 묻는 구조는 안전하지만 ENAKQ 점수에 맞춘 처방으로 볼 근거는 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 위로와 해결을 자동 배정하지 않고 당사자의 현재 필요와 가능한 범위를 직접 합의하게 한다.,NOT_STARTED,false
ENAKQ.friend.context,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:revise;relationship_safety:revise,3.00,2.33,2.67,3.67,evidence_mismatch;cultural_norm;unmeasured_inference,REVISE_BEFORE_NEXT_GATE,personality_psychology: 친구 관계의 빈도·친밀도·집단 규범을 명시하고 E 관련 예시는 표현 시작 세부 점수와 실제 친구 장면 자료에 조건화한다. | psychometrics: 친숙도·모임 크기·기회가 행동을 바꿀 수 있다는 일반 경계와 ENAKQ의 개인 행동 후보를 분리하고 개인화에는 직접 상황 자료를 요구한다. | relationship_safety: 친구에게 먼저 연락하고 모임을 여는 행동은 대표 코드가 아니라 친구 맥락의 실제 반복 응답이 확인된 경우에만 개인화한다.,personality_psychology: 친구 맥락에서 성향 표현이 달라진다는 방향은 맞지만 먼저 연락하고 활동을 제안한다는 ENAKQ 고유 묘사는 직접 검증되지 않았다. | psychometrics: 상황 변산 설명은 적절하지만 먼저 연락·주제 제안 행동을 대표 코드에서 추론하기에는 근거가 부족하다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 친숙도와 역할을 고려하지만 ENAKQ에서 친구 관계 시작 행동을 추론하는 범위는 아직 넓다.,NOT_STARTED,false
ENAKQ.friend.distance,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:insufficient_evidence;psychometrics:insufficient_evidence;relationship_safety:revise,2.00,1.33,1.67,3.33,unmeasured_inference;evidence_mismatch;relationship_determinism,HOLD_FOR_MORE_EVIDENCE,personality_psychology: N·Q 상호작용과 친구 답장 지연에 대한 해석 지속을 함께 측정한 자료가 생기기 전에는 발행하지 않는다. | psychometrics: 운영 보류. 답장 지연 장면의 생각·걱정·행동과 관계 규범을 직접 측정하고 N×Q 효과를 검증한다. | relationship_safety: N·Q 조합이 관계가 멀어지는 이야기를 만든다는 문장을 운영 개인화에서 제외하고 늦은 답장에 대한 실제 자기보고와 반복 자료가 있을 때만 제한적으로 제시한다.,personality_psychology: 답장 지연에서 여러 이유를 떠올리고 부정적 설명에 머문다는 조합은 단일 축 정의를 합성한 가설로 증분 타당도 근거가 없다. | psychometrics: N과 Q의 단일 정의로 친구의 연락 지연에 대한 사고 흐름을 발급할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 답장 지연을 관계 신호로 단정하지 않는 점은 좋지만 조합 가설이 친구 관계 불안을 유형화할 수 있다.,NOT_STARTED,false
ENAKQ.friend.initiation,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,2.00,3.33,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 대표 E가 아닌 표현 시작 세부 점수로 제한하고 최근 피로와 관계 규범 등 상황 변인을 함께 표시한다. | psychometrics: 운영 보류. 표현 시작 facet과 실제 연락·제안 행동을 관계 친숙도·기회와 함께 반복 측정한다. | relationship_safety: 먼저 연락과 날짜 제안은 E 점수만으로 제시하지 말고 관계 친숙도와 모임 크기와 실제 행동 자료를 필수 입력으로 둔다.,personality_psychology: 친구에게 먼저 연락한다는 후보는 표현 시작과 정합적이지만 복합 E 점수에서 특정 관계 행동으로 전이되는 정도가 검증되지 않았다. | psychometrics: E 대표 점수만으로 친구 관계의 시작 행동을 예측하는 직접 근거가 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 연락 횟수를 우정 노력으로 평가하지 않는 보호 문구에도 불구하고 관계 행동 추론은 직접 검증되지 않았다.,NOT_STARTED,false
ENAKQ.friend.novelty,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.33,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,"personality_psychology: 새 활동 제안은 N의 세부 탐색 신호로만, 실제 약속 전환은 K 및 행동 자료로 별도 처리하고 조합 효과를 말하지 않는다. | psychometrics: 운영 보류. 탐색 facet·활동 선호·실제 제안과 실행을 분리 측정하고 N·K 조합의 증분타당도를 검증한다. | relationship_safety: 새 장소 제안과 예약과 정산 행동은 N·K 조합에서 추론하지 말고 직접 관찰 또는 자기보고 자료가 있을 때만 설명한다.",personality_psychology: 새 경험 탐색은 N 정의와 맞지만 K가 이를 실제 약속으로 이어 준다는 조합 해석은 측정되지 않았다. | psychometrics: N과 K 단일 정의를 새로운 활동 제안과 실행 행동으로 확장했다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 분담과 비용을 확인하게 하는 점은 안전하지만 조합에서 실제 친구 활동을 예측하는 주장은 근거가 부족하다.,NOT_STARTED,false
ENAKQ.friend.reciprocity,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:revise;relationship_safety:accept,3.67,2.67,3.33,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,personality_psychology: 일반 관계 교육 문장으로 분리하고 ENAKQ 결과에 귀속하지 않으며 기여 방식의 평가는 당사자 진술과 구체 행동을 사용한다. | psychometrics: ENAKQ에게 나타나는 반응으로 발급하지 말고 양측 행동 횟수와 기대를 직접 확인하는 일반 대화 가이드로 제공하며 유용성을 검토한다.,personality_psychology: 제안과 참여가 모두 관계 기여일 수 있다는 설명은 구성개념상 안전하지만 성향 코드의 고유 결과라기보다 일반적인 관계 원칙이다. | psychometrics: 상호성 프롬프트는 유용할 수 있으나 성향 점수 기반 설명은 간접 근거에 머문다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 관계 기여를 연락 횟수로 단순화하지 않고 구체적 장면과 요청을 말하게 하며 반복적 경계 침해에는 조율을 강요하지 않는다.,NOT_STARTED,false
ENAKQ.friend.repair,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:accept;psychometrics:insufficient_evidence;relationship_safety:accept,3.33,2.33,3.00,3.67,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,psychometrics: 운영 보류. 갈등 후 행동·시간·상대 반응·관계 안전을 양측에서 반복 측정해 회복 패턴을 검증한다.,personality_psychology: 인물 평가 대신 구체 장면과 원하는 행동을 말하라는 내용은 특정 성향을 원인으로 단정하지 않고 다양한 친구 관계에 적용 가능한 안전한 대화 경계다. | psychometrics: 제품 대화 가설만으로 친구 관계의 회복 행동을 개인화할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 깊은 대화를 유일한 회복 방식으로 강요하지 않고 문제 크기와 여유와 안전을 우선한다.,NOT_STARTED,false
ENAKQ.friend.similarity,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 코드 유사성을 우정의 적합 확률로 해석하지 않고 대화 소재로만 제한해 dyadic 근거의 범위를 지킨다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 친구 코드 유사성을 관계 적합성으로 판정하지 않고 구체적 경험과 합의로 돌리는 문구가 비결정론적이다.,NOT_STARTED,false
ENAKQ.friend.support,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,3.50,2.50,3.50,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: A→A·A→G가 별도 과정 측정으로 유효할 때만 설명하고 질문 자체는 코드와 무관한 선택형 지원 확인 문구로 제공한다.,psychometrics: 지원 확인 질문은 안전하지만 과정 코드와 친구 관계 결과의 연결은 검증되지 않았다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 위로와 해결의 우열을 만들지 않고 실제 과정 자료와 현재 필요와 듣는 사람의 한계를 함께 확인한다.,NOT_STARTED,false
ENAKQ.general.definition.A,high,personality_psychology;psychometrics,personality_psychology:insufficient_evidence;psychometrics:insufficient_evidence,2.50,1.50,2.00,4.00,evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,"personality_psychology: A/G 양극 구성개념의 내용 타당도와 요인 구조, 기존 대인 특성과의 수렴·변별 타당도를 확인한 뒤 정의를 확정한다. | psychometrics: 운영 코드 확정 보류. 관계 주의와 원인·해결 주의의 양극성이 한국어 문항에서 재현되는지 내용타당도·요인구조·수렴·변별·재검사 자료로 확인한다.",personality_psychology: 상대 마음 대 원인·해결이라는 관심 방향은 이해하기 쉽지만 하나의 양극 축인지와 능력·친절성과 실제로 구분되는지는 아직 정량 검증되지 않았다. | psychometrics: A/G는 인접 연구보다 좁고 독자적인 축이며 현재 내부 정의와 간접 근거만으로 점수 해석을 확정할 수 없다.,NOT_STARTED,false
ENAKQ.general.definition.E,high,personality_psychology;psychometrics,personality_psychology:revise;psychometrics:insufficient_evidence,3.00,2.50,2.50,4.00,evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,personality_psychology: 교류 에너지와 표현 시작의 상관 및 상위 요인 적합도를 확인하고 둘이 갈릴 때 대표 E를 부여하는 채점 규칙을 명시한다. | psychometrics: 운영 코드 확정 보류. 에너지와 표현 시작의 상관·상위요인·교차적재를 검증하고 둘이 갈릴 때 총점 발급 및 facet 표시 규칙을 사전 확정한다.,personality_psychology: 외향성 관련 근거와 경계는 비교적 강하지만 두 세부 성향을 하나의 문자로 묶는 뉴앙 고유 구조와 대표 코드 판정은 아직 잠정적이다. | psychometrics: 서로 다른 두 facet을 한 글자로 묶는 구조가 아직 ENAKQ 자료에서 입증되지 않았다.,NOT_STARTED,false
